,League,Year,Code,Team,Salary
421,mlb,2021,WAS,Washington Nationals,144415187.0
422,mlb,2022,ARI,Arizona Diamondbacks,85964090.0
423,mlb,2022,ATL,Atlanta Braves,183438888.0
424,mlb,2022,BAL,Baltimore Orioles,44888388.0
425,mlb,2022,BOS,Boston Red Sox,211812131.0
426,mlb,2022,CHC,Chicago Cubs,151054737.0
427,mlb,2022,CHW,Chicago White Sox,203205326.0
428,mlb,2022,CIN,Cincinnati Reds,115467321.0
429,mlb,2022,CLE,Cleveland Guardians,66477492.0
430,mlb,2022,COL,Colorado Rockies,140012218.0
431,mlb,2022,DET,Detroit Tigers,136287588.0
432,mlb,2022,HOU,Houston Astros,183791796.0
433,mlb,2022,KC,Kansas City Royals,92613711.0
434,mlb,2022,LAA,Los Angeles Angels,179877811.0
435,mlb,2022,LAD,Los Angeles Dodgers,270381426.0
436,mlb,2022,MIA,Miami Marlins,82954422.0
437,mlb,2022,MIL,Milwaukee Brewers,130769325.0
438,mlb,2022,MIN,Minnesota Twins,149030158.0
439,mlb,2022,NYM,New York Mets,268292506.0
440,mlb,2022,NYY,New York Yankees,236098989.0
441,mlb,2022,OAK,Oakland Athletics,48443900.0
442,mlb,2022,PHI,Philadelphia Phillies,244484097.0
443,mlb,2022,PIT,Pittsburgh Pirates,56184032.0
444,mlb,2022,SD,San Diego Padres,224511694.0
445,mlb,2022,SF,San Francisco Giants,162453046.0
446,mlb,2022,SEA,Seattle Mariners,115838907.0
447,mlb,2022,STL,St. Louis Cardinals,156428325.0
448,mlb,2022,TB,Tampa Bay Rays,98342073.0
449,mlb,2022,TEX,Texas Rangers,150037446.0
450,mlb,2022,TOR,Toronto Blue Jays,177071670.0
451,mlb,2022,WAS,Washington Nationals,126809535.0
452,mls,2018,ATL,Atlanta United FC,9773612.0
453,mls,2018,CHI,Chicago Fire,13209392.0
454,mls,2018,COL,Colorado Rapids,10540637.0
455,mls,2018,CLB,Columbus Crew,6999423.0
456,mls,2018,DC,D.C. United,8865513.0
457,mls,2018,CIN,FC Cincinnati,2057576.0
458,mls,2018,DAL,FC Dallas,8176794.0
459,mls,2018,HOU,Houston Dynamo,5304148.0
460,mls,2018,LA,LA Galaxy,16976812.0
461,mls,2018,LAFC,Los Angeles FC,14166738.0
462,mls,2018,MIN,Minnesota United FC,8290505.0
463,mls,2018,MTL,Montreal Impact,11768066.0
464,mls,2018,NE,New England Revolution,7806034.0
465,mls,2018,NYC,New York City FC,14053171.0
466,mls,2018,NY,New York Red Bulls,7336534.0
467,mls,2018,ORL,Orlando City,7719087.0
468,mls,2018,PHI,Philadelphia Union,8072129.0
469,mls,2018,POR,Portland Timbers,10164053.0
470,mls,2018,RSL,Real Salt Lake,8729424.0
471,mls,2018,SJ,San Jose Earthquakes,7508343.0
472,mls,2018,SEA,Seattle Sounders FC,12787745.0
473,mls,2018,SKC,Sporting Kansas City,9655576.0
474,mls,2018,TOR,Toronto FC,25747264.0
475,mls,2018,VAN,Vancouver Whitecaps FC,7178880.0
476,mls,2019,ATL,Atlanta United FC,11485111.0
477,mls,2019,CHI,Chicago Fire,16073705.0
478,mls,2019,COL,Colorado Rapids,8036215.0
479,mls,2019,CLB,Columbus Crew,10049306.0
480,mls,2019,DC,D.C. United,10414746.0
481,mls,2019,CIN,FC Cincinnati,9488759.0
482,mls,2019,DAL,FC Dallas,7466944.0
483,mls,2019,HOU,Houston Dynamo,7602582.0
484,mls,2019,LA,LA Galaxy,17724081.0
