Season,DateTime,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2013-14,2014-01-18T00:00:00Z,18/01/2014,00:00:00,Man City,Cardiff,4,2,H,2,1,H
2013-14,2014-01-18T00:00:00Z,18/01/2014,00:00:00,Norwich,Hull,1,0,H,0,0,D
2013-14,2014-01-18T00:00:00Z,18/01/2014,00:00:00,Sunderland,Southampton,2,2,D,1,2,A
2013-14,2014-01-18T00:00:00Z,18/01/2014,00:00:00,West Ham,Newcastle,1,3,A,1,2,A
2013-14,2014-01-19T00:00:00Z,19/01/2014,00:00:00,Chelsea,Man United,3,1,H,2,0,H
2013-14,2014-01-19T00:00:00Z,19/01/2014,00:00:00,Swansea,Tottenham,1,3,A,0,1,A
2013-14,2014-01-20T00:00:00Z,20/01/2014,00:00:00,West Brom,Everton,1,1,D,0,1,A
2013-14,2014-01-28T00:00:00Z,28/01/2014,00:00:00,Crystal Palace,Hull,1,0,H,1,0,H
2013-14,2014-01-28T00:00:00Z,28/01/2014,00:00:00,Liverpool,Everton,4,0,H,3,0,H
2013-14,2014-01-28T00:00:00Z,28/01/2014,00:00:00,Man United,Cardiff,2,0,H,1,0,H
2013-14,2014-01-28T00:00:00Z,28/01/2014,00:00:00,Norwich,Newcastle,0,0,D,0,0,D
2013-14,2014-01-28T00:00:00Z,28/01/2014,00:00:00,Southampton,Arsenal,2,2,D,1,0,H
2013-14,2014-01-28T00:00:00Z,28/01/2014,00:00:00,Swansea,Fulham,2,0,H,0,0,D
2013-14,2014-01-29T00:00:00Z,29/01/2014,00:00:00,Aston Villa,West Brom,4,3,H,3,3,D
2013-14,2014-01-29T00:00:00Z,29/01/2014,00:00:00,Chelsea,West Ham,0,0,D,0,0,D
2013-14,2014-01-29T00:00:00Z,29/01/2014,00:00:00,Sunderland,Stoke,1,0,H,1,0,H
2013-14,2014-01-29T00:00:00Z,29/01/2014,00:00:00,Tottenham,Man City,1,5,A,0,1,A
2013-14,2014-02-01T00:00:00Z,01/02/2014,00:00:00,Cardiff,Norwich,2,1,H,0,1,A
2013-14,2014-02-01T00:00:00Z,01/02/2014,00:00:00,Everton,Aston Villa,2,1,H,0,1,A
2013-14,2014-02-01T00:00:00Z,01/02/2014,00:00:00,Fulham,Southampton,0,3,A,0,0,D
2013-14,2014-02-01T00:00:00Z,01/02/2014,00:00:00,Hull,Tottenham,1,1,D,1,0,H
2013-14,2014-02-01T00:00:00Z,01/02/2014,00:00:00,Newcastle,Sunderland,0,3,A,0,2,A
2013-14,2014-02-01T00:00:00Z,01/02/2014,00:00:00,Stoke,Man United,2,1,H,1,0,H
2013-14,2014-02-01T00:00:00Z,01/02/2014,00:00:00,West Ham,Swansea,2,0,H,2,0,H
2013-14,2014-02-02T00:00:00Z,02/02/2014,00:00:00,Arsenal,Crystal Palace,2,0,H,0,0,D
2013-14,2014-02-02T00:00:00Z,02/02/2014,00:00:00,West Brom,Liverpool,1,1,D,0,1,A
2013-14,2014-02-03T00:00:00Z,03/02/2014,00:00:00,Man City,Chelsea,0,1,A,0,1,A
2013-14,2014-02-08T00:00:00Z,08/02/2014,00:00:00,Aston Villa,West Ham,0,2,A,0,0,D
2013-14,2014-02-08T00:00:00Z,08/02/2014,00:00:00,Chelsea,Newcastle,3,0,H,2,0,H
2013-14,2014-02-08T00:00:00Z,08/02/2014,00:00:00,Crystal Palace,West Brom,3,1,H,2,0,H
2013-14,2014-02-08T00:00:00Z,08/02/2014,00:00:00,Liverpool,Arsenal,5,1,H,4,0,H
2013-14,2014-02-08T00:00:00Z,08/02/2014,00:00:00,Norwich,Man City,0,0,D,0,0,D
